,date,speed,engine_load,throttle,heading,roll,pitch,sys,gyro,accel,mag,magx,magy,magz,gyrx,gyry,gyrz,linaccx,linaccy,linaxxz,time,time_diff
118,1517153211.7,10.0,0.29411764705882354,0.1450980392156863,264.0625,-15.1875,25.6875,0,0,0,0.0,-19.0,-57.0625,-35.0,0.0488888888889,0.023333333333299996,-0.0355555555556,-0.63,0.5,0.15,410.17000007629395,4.6600000858306885
122,1517153230.3,21.0,0.7294117647058823,0.24313725490196078,339.25,-0.5,21.25,0,0,0,0.0,-1.25,-26.1875,-17.0,0.0811111111111,-0.0744444444444,-0.0288888888889,-0.52,1.08,-1.1,428.7699999809265,18.59999990463257
123,1517153234.96,42.0,0.19607843137254902,0.16862745098039217,350.375,-3.0625,18.875,0,0,0,0.0,-0.25,-26.0625,-17.5625,0.09444444444439999,-0.0333333333333,0.0455555555556,-1.21,0.54,-1.69,433.4300000667572,4.6600000858306885
124,1517153239.62,47.0,0.6235294117647059,0.1803921568627451,350.8125,-2.5,19.4375,0,0,0,0.0,0.375,-25.75,-19.1875,0.138888888889,-0.0522222222222,0.0166666666667,-0.16,1.01,-0.7,438.0899999141693,4.659999847412109
125,1517153244.29,57.0,0.6901960784313725,0.2,351.3125,-2.9375,19.25,0,0,0,0.0,0.5625,-25.5625,-18.5,-0.115555555556,0.03,-0.0144444444444,-0.55,-1.34,-0.94,442.75999999046326,4.670000076293945
126,1517153248.92,64.0,0.17647058823529413,0.2,351.5625,-4.375,20.375,0,0,0,0.0,0.375,-24.5,-19.5,-0.147777777778,0.0011111111111099998,-0.022222222222199998,-0.84,-1.2,-0.46,447.3900001049042,4.630000114440918
127,1517153253.59,66.0,0.3333333333333333,0.1568627450980392,351.6875,-6.0,21.5625,0,0,0,0.0,0.0625,-25.1875,-19.25,0.09444444444439999,0.05,0.0277777777778,-0.31,-1.05,0.65,452.05999994277954,4.669999837875366
128,1517153258.27,66.0,0.6235294117647059,0.1450980392156863,351.0,-7.5625,20.25,0,0,0,0.0,1.1875,-26.25,-17.75,-0.07,-0.0155555555556,-0.025555555555599997,-1.08,-0.46,-0.27,456.74000000953674,4.680000066757202
129,1517153262.93,62.0,0.3137254901960784,0.1803921568627451,350.0625,-11.0625,20.125,0,0,0,0.0,-1.875,-24.875,-16.0,0.004444444444439999,-0.0188888888889,-0.0144444444444,0.03,-0.08,0.51,461.40000009536743,4.6600000858306885
130,1517153267.58,63.0,0.2,0.16470588235294117,350.3125,-10.9375,21.125,0,0,0,0.0,-9.875,-79.0,-38.75,-0.0022222222222199996,0.133333333333,0.0455555555556,-0.34,1.61,-1.63,466.0499999523163,4.6499998569488525
